"plot","plotID","habitat","ranch","bdffp_reserve_no","HA_ID_Number","tag_number","row","column","x_09","y_09","year","ht","shts","code.notes","infl"
"Florestal-CF","CF-1","CF","EST","1301","6743",972,"A","3","9",8.2,2002,32,2,"not on list (40)",0
"Florestal-CF","CF-1","CF","EST","1301","6798",1028,"D","2","",NA,2002,9,2,"not on list (40)",0
"Florestal-CF","CF-1","CF","EST","1301","6821",1053,"E","2","7.4",8.4,2002,10,1,"not on list (40)",0
"PortoAlegre-CF","CF-5","CF","PAL","none","7395",32,"D","2","6.8",7.1,2008,80,4,"not on list (40)",NA
"PortoAlegre-CF","CF-5","CF","PAL","none","7416",53,"C","10","",NA,2002,21,1,"not on list (40)",1
"PortoAlegre-CF","CF-5","CF","PAL","none","7449",89,"D","1","",NA,2002,66,3,"not on list (40)",1
"PortoAlegre-CF","CF-5","CF","PAL","none","7507",149,"D","1","5",9.95,2008,120,6,"not on list (40)",NA
"PortoAlegre-CF","CF-5","CF","PAL","none","7546",195,"D","1","6.4",9.4,2008,29,2,"not on list (40)",NA
"PortoAlegre-CF","CF-5","CF","PAL","none","7652",327,"E","2","6.4",0.45,2008,45,2,"not on list (40)",NA
"5754","FF-7","10-ha","PortoAlegre","3209","7922",316,"A","5",NA,NA,2004,85,9,"not on list (40)",2
"5754","FF-7","10-ha","PortoAlegre","3209","8546",1366,"B","8",NA,NA,2006,22,2,"not on list (40)",NA
"5754","FF-7","10-ha","PortoAlegre","3209","8255",746,"C","5",NA,NA,2006,20,1,"not on list (40)",NA
"5754","FF-7","10-ha","PortoAlegre","3209","7641",18,"E","3",NA,NA,2004,83,2,"not on list (40)",0
"5754","FF-7","10-ha","PortoAlegre","3209","8273",764,"E","5",NA,NA,2006,16,1,"not on list (40)",NA
"5754","FF-7","10-ha","PortoAlegre","3209","8399",909,"E","5",NA,NA,2000,22,1,"not on list (40)",0
"5754","FF-7","10-ha","PortoAlegre","3209","8501",1312,"E","5",NA,NA,2002,50,3,"not on list (40)",0
"5754","FF-7","10-ha","PortoAlegre","3209","8122",611,"E","6",NA,NA,2000,12,1,"not on list (40)",0
"5754","FF-7","10-ha","PortoAlegre","3209","8246",737,"E","9",NA,NA,2005,10,1,"not on list (40)",0
"5754","FF-7","10-ha","PortoAlegre","3209","7924",318,"D","5",NA,NA,2006,24,2,"not on list (40)",NA
"5754","FF-7","10-ha","PortoAlegre","3209","7662",46,"E","6",NA,NA,2006,53,3,"not on list (40)",NA
