HA_ID_Number,plot,habitat,ranch,bdffp_no,yr_isolated
6982,CF-1,forest,EST,1301,NA
7004,CF-1,forest,EST,1301,NA
7032,CF-1,forest,EST,1301,NA
7062,CF-1,forest,EST,1301,NA
7194,CF-1,forest,EST,1301,NA
7195,CF-1,forest,EST,1301,NA
7196,CF-1,forest,EST,1301,NA
5804,CF-1,forest,EST,1301,NA
5809,CF-1,forest,EST,1301,NA
5815,CF-1,forest,EST,1301,NA
5831,CF-1,forest,EST,1301,NA
5839,CF-1,forest,EST,1301,NA
5842,CF-1,forest,EST,1301,NA
5846,CF-1,forest,EST,1301,NA
5847,CF-1,forest,EST,1301,NA
5890,CF-1,forest,EST,1301,NA
5892,CF-1,forest,EST,1301,NA
5916,CF-1,forest,EST,1301,NA
5926,CF-1,forest,EST,1301,NA
5929,CF-1,forest,EST,1301,NA
5936,CF-1,forest,EST,1301,NA
5942,CF-1,forest,EST,1301,NA
5951,CF-1,forest,EST,1301,NA
5953,CF-1,forest,EST,1301,NA
5954,CF-1,forest,EST,1301,NA
5979,CF-1,forest,EST,1301,NA
6393,CF-1,forest,EST,1301,NA
6395,CF-1,forest,EST,1301,NA
6419,CF-1,forest,EST,1301,NA
6479,CF-1,forest,EST,1301,NA
6486,CF-1,forest,EST,1301,NA
6523,CF-1,forest,EST,1301,NA
6534,CF-1,forest,EST,1301,NA
6598,CF-1,forest,EST,1301,NA
6602,CF-1,forest,EST,1301,NA
6702,CF-1,forest,EST,1301,NA
6806,CF-1,forest,EST,1301,NA
6829,CF-1,forest,EST,1301,NA
6848,CF-1,forest,EST,1301,NA
6989,CF-1,forest,EST,1301,NA
7013,CF-1,forest,EST,1301,NA
7014,CF-1,forest,EST,1301,NA
7031,CF-1,forest,EST,1301,NA
7123,CF-1,forest,EST,1301,NA
7124,CF-1,forest,EST,1301,NA
7125,CF-1,forest,EST,1301,NA
7159,CF-1,forest,EST,1301,NA
7235,CF-1,forest,EST,1301,NA
7236,CF-1,forest,EST,1301,NA
7237,CF-1,forest,EST,1301,NA
7282,CF-1,forest,EST,1301,NA
7293,CF-1,forest,EST,1301,NA
7294,CF-1,forest,EST,1301,NA
7305,CF-1,forest,EST,1301,NA
5791,CF-1,forest,EST,1301,NA
5796,CF-1,forest,EST,1301,NA
5797,CF-1,forest,EST,1301,NA
5807,CF-1,forest,EST,1301,NA
5830,CF-1,forest,EST,1301,NA
5832,CF-1,forest,EST,1301,NA
5838,CF-1,forest,EST,1301,NA
5854,CF-1,forest,EST,1301,NA
5871,CF-1,forest,EST,1301,NA
5878,CF-1,forest,EST,1301,NA
5896,CF-1,forest,EST,1301,NA
5904,CF-1,forest,EST,1301,NA
