"plot","plotID","habitat","ranch","bdffp_reserve_no","HA_ID_Number","tag_number","row","column","x_09","y_09","year","code.notes"
"5750","CF-2","CF","Esteio-Colosso","1501","1059",195,"C","10","3.6",8.4,2002,"under treefall (80)"
"5750","CF-2","CF","Esteio-Colosso","1501","1141",280,"H","7","6.2",1.1,2002,"under treefall (80)"
"5750","CF-2","CF","Esteio-Colosso","1501","1142",281,"H","7","",NA,2002,"under treefall (80)"
"5750","CF-2","CF","Esteio-Colosso","1501","1229",371,"J","9","9.6",3,2002,"under treefall (80)"
"5750","CF-2","CF","Esteio-Colosso","1501","1242",384,"J","9","5.3",2.3,2002,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1261",403,"J","9","3.8",8.4,2002,"under treefall (80)"
"5750","CF-2","CF","Esteio-Colosso","1501","1267",409,"J","8","",NA,2002,"under treefall (80)"
"5750","CF-2","CF","Esteio-Colosso","1501","1281",423,"J","8","4.4",1.5,2002,"under treefall (80)"
"5750","CF-2","CF","Esteio-Colosso","1501","1340",484,"C","10","6.4",9.3,2002,"under treefall (80)"
"5750","CF-2","CF","Esteio-Colosso","1501","1341",485,"D","9","9.2",8.3,2002,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1386",531,"J","9","",NA,2002,"under treefall (80)"
"5750","CF-2","CF","Esteio-Colosso","1501","1403",548,"F","10","",NA,2002,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1413",558,"J","9","5",2.1,2002,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1415",560,"J","9","9.3",9.5,2002,"under treefall (80)"
"5750","CF-2","CF","Esteio-Colosso","1501","1446",591,"J","9","",NA,2002,"under treefall (80)"
"5750","CF-2","CF","Esteio-Colosso","1501","1450",595,"B","6","8.1",0.7,2002,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1492",637,"B","6","1.9",1.6,2002,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1496",641,"J","9","",NA,2002,"under treefall (80)"
"5750","CF-2","CF","Esteio-Colosso","1501","1510",655,"J","8","",NA,2002,"under treefall (80)"
"5750","CF-2","CF","Esteio-Colosso","1501","1634",780,"J","10","2.9",8.3,2002,"under treefall (80)"
"5750","CF-2","CF","Esteio-Colosso","1501","1637",783,"J","10","",NA,2002,"under treefall (80)"
"5750","CF-2","CF","Esteio-Colosso","1501","1661",807,"J","10","7.8",5.2,2002,"under treefall (80)"
"5750","CF-2","CF","Esteio-Colosso","1501","1726",872,"C","10","5.3",9,2002,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1728",874,"A","10","7.2",2.5,2002,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1731",878,"A","10","3.3",2,2002,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1742",889,"C","10","8",4.6,2002,"under treefall (80)"
"5750","CF-2","CF","Esteio-Colosso","1501","1780",929,"C","10","6.8",8.4,2002,"under treefall (80)"
"5750","CF-2","CF","Esteio-Colosso","1501","1796",945,"A","10","4",2.4,2002,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1808",957,"A","10","6.1",1.7,2002,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1438",583,"E","8","",NA,2003,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1447",592,"B","8","7.8",3.1,2003,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1808",957,"A","10","6.1",1.7,2003,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","950",35,"G","9","9.4",6.2,2004,"under treefall (80)"
"5750","CF-2","CF","Esteio-Colosso","1501","1178",319,"C","8","1.1",2.8,2004,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1259",401,"J","9","1",3.8,2004,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1271",413,"J","10","2.5",7.6,2004,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1371",516,"J","9","2.5",5.5,2004,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1401",546,"F","10","7.7",8.9,2004,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1733",880,"J","9","1.5",5.2,2004,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","950",35,"G","9","9.4",6.2,2005,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","954",57,"J","6","6.7",5.2,2005,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","972",99,"A","10","9.4",5.7,2005,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","985",117,"A","10","8.6",0.7,2005,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1014",149,"A","6","0.8",1.6,2005,"under branchfall (90)"
