PORTO ALEGRE 10 HA ,,,,,LEVANTAMENTO 2006,,,,,,
plantID,row,col,REB,ALT,06 NOTAS,row,col,num,REB,ALT,06 NOTAS
227,E,9,1,51,,,,,,,
658,E,9,,,missing,,,,,,
670,E,9,,,missing,,,,,,
690,E,9,2,33,,,,,,,
719,E,9,1,10,,,,,,,
730,E,9,,,dead,,,,,,
737,E,9,1,8,,,,,,,
789,E,9,2,20,,,,,,,
907,E,9,,,dead,,,,,,
911,E,9,1,13,,,,,,,
915,E,9,1,12,,,,,,,
919,E,9,,,dead,,,,,,
922,E,9,1,6,,,,,,,
935,E,9,2,20,,,,,,,
941,E,9,1,17,,,,,,,
1315,E,9,1,11,,,,,,,
80,E,10,5,56,,,,,,,
82,E,10,2,35,,,,,,,
194,E,10,,,dead,,,,,,
644,E,10,3,74,,,,,,,
837,E,10,1,15,,,,,,,
838,E,10,,,dead,,,,,,
839,E,10,2,28,,,,,,,
841,E,10,2,25,,,,,,,
,A,1,,,trefall ,,,,,,
,A,3,,,"dead, not on list",,,,,,
832,A,4,1,9,could be one of missing,,,,,,
829,A,5,1,16,could be one of missing,,,,,,
830,A,5,2,28,could be one of missing,,,,,,
831,A,5,2,22,could be one of missing,,,,,,
814,A,8,2,22,"under branch, must have lost tag",,,,,,
,A,8,,,lots of small branchfalls in plot,,,,,,
816,A,8,1,7,could be one of missing,,,,,,
813,A,9,1,20,ULY?,,,,,,
860,A,9,1,8,sdlg,,,,,,
834,B,4,1,7,sdlg,,,,,,
833,B,4,1,6,sdlg,,,,,,
828,B,5,3,65,could be one of missing,,,,,,
,B,6,,,horrible treefall in plot,,,,,,
,B,7,,,"horrible treefall in plot, can barely make it in",,,,,,
825,B,7,3,54,must be one of missing,,,,,,
817,B,7,2,43,", must have lost tag",,,,,,
818,B,7,2,50,"under treefall , must have lost tag",,,,,,
819,B,8,1,10,must be one of missing,,,,,,
820,B,8,3,70,must be one of missing,,,,,,
821,B,8,1,10,must be one of missing,,,,,,
1366,B,8,2,22,not on list,,,,,,
746,C,5,1,20,not on list,,,,,,
826,C,5,1,8,sdlg,,,,,,
827,C,5,1,12,sdlg,,,,,,
824,C,7,1,29,ULY?,,,,,,
,C,7,,,plot is 50% treefall,,,,,,
823,C,7,2,39,ULY?,,,,,,
859,C,9,1,8,sdlg,,,,,,
836,D,1,3,30,could be 1333,,,,,,
318,D,5,2,24,not on list. must be313,,,,,,
822,D,7,3,29,could be one of missing,,,,,,
,D,7,,,treefall in plot,,,,,,
1387,D,7,2,33,could be one of missing,,,,,,
812,D,9,1,11,could be 680?,,,,,,
810,D,10,1,10,sdlg,,,,,,
835,E,4,1,10,could be 378,,,,,,
764,E,5,1,16,not on list,,,,,,
46,E,6,3,53,pvc stake not on list,,,,,,
98,E,8,4,92,not on list. must be96,,,,,,
811,E,9,2,38,could be one of missing,,,,,,
858,E,9,1,15,could be one of missing,,,,,,
