plant_id,plot,habitat,ranch,bdffp_reserve_no,tag_number,row,column,plot_id,year,code,duplicate_tag,adult_no_tag,recorded_sdlg,treefall_status,condition,census_status
1593,5750,CF,EST,1501,887,F,9,CF-2,2004,ULY,NA,TRUE,FALSE,NA,NA,measured
1851,5750,CF,EST,1501,901,I,10,CF-2,2004,ULY,NA,TRUE,FALSE,NA,NA,measured
1722,5750,CF,EST,1501,905,H,10,CF-2,2004,ULY,NA,TRUE,FALSE,NA,NA,measured
1326,5750,CF,EST,1501,909,C,9,CF-2,2004,ULY,NA,TRUE,FALSE,NA,NA,measured
2157,5750,CF,EST,1501,916,J,9,CF-2,2004,ULY,NA,TRUE,FALSE,NA,NA,measured
2003,5750,CF,EST,1501,918,J,10,CF-2,2004,ULY,NA,TRUE,FALSE,NA,NA,measured
1961,5750,CF,EST,1501,922,I,9,CF-2,2004,ULY,NA,TRUE,FALSE,NA,NA,measured
2004,5750,CF,EST,1501,932,J,10,CF-2,2004,ULY,NA,TRUE,FALSE,NA,NA,measured
2159,5750,CF,EST,1501,940,J,9,CF-2,2004,ULY,NA,TRUE,FALSE,NA,NA,measured
2060,5750,CF,EST,1501,997,J,7,CF-2,2004,ULY,NA,TRUE,FALSE,NA,NA,measured
1796,5750,CF,EST,1501,1327,H,7,CF-2,2004,ULY,NA,TRUE,FALSE,NA,NA,measured
1006,5750,CF,EST,1501,1336,A,7,CF-2,2004,ULY,NA,TRUE,FALSE,NA,NA,measured
1040,5750,CF,EST,1501,1404,A,8,CF-2,2004,ULY,NA,TRUE,FALSE,NA,NA,measured
1560,5750,CF,EST,1501,1416,F,7,CF-2,2004,ULY,NA,TRUE,FALSE,NA,NA,measured
2163,5750,CF,EST,1501,1417,J,9,CF-2,2006,ULY,NA,TRUE,FALSE,NA,NA,measured
1585,5750,CF,EST,1501,2061,F,8,CF-2,2007,ULY,NA,TRUE,FALSE,NA,NA,measured
1072,5750,CF,EST,1501,29,B,10,CF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured
1670,5750,CF,EST,1501,233,G,9,CF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured
