plot_id,plant_id,year,treefall_status
CF-1,7003,2004,branch
CF-1,7004,2006,branch
CF-1,7006,2007,branch
CF-1,7013,2004,branch
CF-1,7017,2004,branch
CF-1,7087,2006,branch
CF-1,7087,2007,branch
CF-1,7094,2003,branch
CF-1,7110,2007,branch
CF-1,7113,2004,branch
CF-1,7115,2004,branch
CF-1,7119,2004,branch
CF-1,7127,2004,branch
CF-1,7132,2001,branch
CF-1,7136,2003,branch
CF-1,7136,2006,branch
CF-1,7144,2001,branch
CF-1,7157,2006,branch
CF-1,7253,2002,branch
CF-1,7265,2009,branch
CF-1,7293,2007,litter
CF-1,7312,2004,branch
CF-1,7312,2009,branch
CF-1,7318,2007,branch
CF-1,7372,2004,branch
CF-1,7375,2007,branch
CF-1,7408,2005,branch
CF-1,7408,2006,branch
CF-1,7421,2004,branch
CF-1,7427,2005,branch
CF-1,7427,2006,branch
CF-1,7432,2006,branch
CF-1,7463,2002,branch
CF-1,7463,2003,branch
CF-1,7463,2004,branch
CF-1,7463,2005,branch
CF-1,7469,2006,branch
CF-1,7470,2007,branch
CF-1,7472,2002,branch
CF-1,7472,2003,branch
CF-1,7472,2004,branch
CF-1,7472,2005,branch
CF-1,7477,2006,branch
CF-1,7516,2006,branch
CF-1,7545,2006,branch
CF-1,7550,2005,branch
CF-1,7564,2006,branch
CF-1,7586,2003,branch
CF-1,7586,2004,branch
CF-1,7619,2007,branch
CF-1,7621,2002,branch
CF-1,7633,2002,branch
CF-1,7633,2006,branch
CF-1,7638,2009,branch
CF-1,7639,2004,branch
CF-1,7657,2007,branch
CF-1,7694,2002,branch
CF-1,7735,2001,branch
CF-1,7735,2002,branch
CF-1,7737,2001,branch
CF-1,7766,2002,branch
CF-1,7776,2001,branch
CF-1,7776,2007,branch
CF-1,7779,2001,branch
CF-1,7789,2009,branch
CF-1,7829,2002,branch
CF-1,7859,2007,branch
CF-1,7876,2006,branch
CF-1,7887,2004,branch
CF-1,7897,2004,branch
CF-1,7901,2004,branch
CF-1,7901,2005,branch
CF-1,7901,2007,branch
CF-1,7928,2002,branch
CF-1,7931,2003,branch
CF-1,7932,2006,litter
CF-1,7937,2001,branch
CF-1,7937,2002,branch
CF-1,7958,2009,branch
CF-1,7960,2001,branch
CF-1,7963,2003,branch
CF-1,7965,2001,branch
CF-1,8014,2004,branch
CF-1,8014,2009,branch
CF-1,8018,2006,branch
CF-1,8018,2007,branch
CF-1,8019,2001,branch
